CSE232(1929135795):B003,ECE546:C11,CSE506:C01,ECO311:C212,CSE232(1929135795):C101,MTH373:C201,SSH362:C21,BIO321:C209,PSY308:C102,CSE319:L1,|CSE556:C201,CSE529:A106,CSE546:C24,MTH371:B003,SOC308:A007,DES514:C212,PSY307:C102,BIO361:C101,ECE501:C210,ECE511:C21,|CSE513:C03,CSE525:C21,MTH340:C22,ECE551:L3,BIO523:C11,SOC314:B003,BIO542:C201,DES302:A007,ECE314:C101,CSE643:C102,|CSE333:C02,CSE642 :C03,BIO532:C214,CSE569:C201,BIO5xx:C209,ECE565:C24,ECE351:C21,|
BIO546:C21,SOC513:A007,BIO544:C201,MTH341:C13,CSE340(-111987737):A006,CSE340(-111987737):C101,MTH571:C216,ECE318:C102,ECE340:C23,CSE656:C213,|CSE600A:C201,CSE345:C11,ECE570:C216,BIO511:C102,ECO502:C212,BIO512:A106,CSE633:C209,SSH700:C22,ECE315:C210,|ECE539:C210,MTH518:C22,ECO301:C201,ECE560:A007,CSE301:C213,DES509:C13,|CSE343(-2086237794):B003,ECE522:C01,ECO331:C102,DES524:C213,ECO324:C201,ECE524:C24,CSE343(-2086237794):C101,ENT412:C22,|
SSH322:C12,ECE564:C209,ECE525:C210,DES305:C22,|ECE501:B105,DES514:C209,CSE546:L3,ECE511:C201,BIO361:C11,MTH371:A106,CSE556:C01,SOC308:A007,PSY307:B003,CSE529:C216,|CSE513:L2,SOC314:C213,ECE314:B105,ECE551:C11,DES302:C101,CSE525:C01,BIO542:B003,MTH340:C214,BIO523:C201,CSE643:C102,|CSE642 :C01,BIO5xx:C23,BIO532:C12,ECE565:C211,ECE351:C101,CSE333:C212,CSE569:B003,|
BIO321:A007,CSE232(-651350841):C201,CSE232(-651350841):C101,CSE319:C23,PSY308:C102,CSE506:C01,SSH362:B003,ECO311:C11,MTH373:C21,ECE546:C215,|CSE345:C11,CSE600A:C102,BIO512:C211,SSH700:L3,BIO511:B003,CSE633:C213,ECE570:C13,ECE315:C01,ECO502:C215,|ECO301:B003,DES509:A106,MTH518:C21,ECE560:C213,ECE539:C11,CSE301:C02,|CSE343(-1155664104):C11,CSE343(-1155664104):C101,ECO324:C02,ECO331:C201,ECE524:C211,DES524:C21,ENT412:C209,ECE522:C01,|
BIO544:C01,CSE656:C211,ECE318:A006,SOC513:C209,MTH341:C201,ECE340:C23,CSE340(-626585761):C02,CSE340(-626585761):C11,BIO546:B003,MTH571:L1,|SSH322:C24,ECE525:C22,DES305:C201,ECE564:C21,|||
